input,output
instead could it be for six # ,sure is there anything else to update
instead could it be with korean cuisine # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # may i have the address of the restaurant # ,_address
what is the phone number of the restaurant # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in tokyo # ,any preference on a type of cuisine
can you book a table in tokyo # any preference on a type of cuisine # i love japanese food # ,how many people would be in your party
can you book a table in tokyo # any preference on a type of cuisine # i love japanese food # how many people would be in your party # for four please # ,which price range are looking for
can you book a table in tokyo # any preference on a type of cuisine # i love japanese food # how many people would be in your party # for four please # which price range are looking for # in a cheap price range please # ,api_call
instead could it be for six # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for two people with cantonese food # ,where should it be
can you book a table for two people with cantonese food # where should it be # bangkok please # ,which price range are looking for
can you book a table for two people with cantonese food # where should it be # bangkok please # which price range are looking for # in a expensive price range please # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table with cantonese food # ,where should it be
i'd like to book a table with cantonese food # where should it be # seoul please # ,how many people would be in your party
i'd like to book a table with cantonese food # where should it be # seoul please # how many people would be in your party # for two please # ,which price range are looking for
i'd like to book a table with cantonese food # where should it be # seoul please # how many people would be in your party # for two please # which price range are looking for # in a moderate price range please # ,api_call
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for four in tokyo with korean food # ,which price range are looking for
can you book a table for four in tokyo with korean food # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
instead could it be with japanese cuisine # ,sure is there anything else to update
instead could it be for two people # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # do you have its phone number # ,phone_call
may i have the address of the restaurant # _address # do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation with vietnamese cuisine for six people # ,where should it be
can you make a restaurant reservation with vietnamese cuisine for six people # where should it be # beijing please # ,which price range are looking for
can you make a restaurant reservation with vietnamese cuisine for six people # where should it be # beijing please # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with cantonese food for four people in a cheap price range # ,where should it be
i'd like to book a table with cantonese food for four people in a cheap price range # where should it be # hanoi please # ,api_call
actually i would prefer for six # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with vietnamese cuisine in a moderate price range in bangkok # ,how many people would be in your party
can you book a table with vietnamese cuisine in a moderate price range in bangkok # how many people would be in your party # for two please # ,api_call
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # do you have its address # ,_address
may i have the phone number of the restaurant # phone_call # do you have its address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in beijing for four people in a expensive price range # ,any preference on a type of cuisine
i'd like to book a table in beijing for four people in a expensive price range # any preference on a type of cuisine # with vietnamese cuisine # ,api_call
actually i would prefer with thai food # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # ,_address
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a cheap price range in seoul # ,any preference on a type of cuisine
may i have a table in a cheap price range in seoul # any preference on a type of cuisine # with thai food # ,how many people would be in your party
may i have a table in a cheap price range in seoul # any preference on a type of cuisine # with thai food # how many people would be in your party # for four people please # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with cantonese food in tokyo in a cheap price range # ,how many people would be in your party
can you book a table with cantonese food in tokyo in a cheap price range # how many people would be in your party # we will be two # ,api_call
instead could it be for eight # ,sure is there anything else to update
actually i would prefer with korean food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in a moderate price range # ,any preference on a type of cuisine
i'd like to book a table in a moderate price range # any preference on a type of cuisine # with vietnamese food # ,where should it be
i'd like to book a table in a moderate price range # any preference on a type of cuisine # with vietnamese food # where should it be # beijing please # ,how many people would be in your party
i'd like to book a table in a moderate price range # any preference on a type of cuisine # with vietnamese food # where should it be # beijing please # how many people would be in your party # we will be four # ,api_call
instead could it be for eight people # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # can you provide the address # ,_address
do you have its phone number # phone_call # can you provide the address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in a cheap price range # ,any preference on a type of cuisine
i'd like to book a table in a cheap price range # any preference on a type of cuisine # with korean food # ,where should it be
i'd like to book a table in a cheap price range # any preference on a type of cuisine # with korean food # where should it be # bangkok please # ,how many people would be in your party
i'd like to book a table in a cheap price range # any preference on a type of cuisine # with korean food # where should it be # bangkok please # how many people would be in your party # for four please # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
instead could it be with cantonese food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation for eight in a cheap price range with japanese cuisine # ,where should it be
can you make a restaurant reservation for eight in a cheap price range with japanese cuisine # where should it be # bangkok please # ,api_call
instead could it be for four people # ,sure is there anything else to update
actually i would prefer with cantonese food # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a expensive price range in beijing with japanese cuisine # ,how many people would be in your party
may i have a table in a expensive price range in beijing with japanese cuisine # how many people would be in your party # for four people please # ,api_call
instead could it be for two # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for four # ,any preference on a type of cuisine
may i have a table for four # any preference on a type of cuisine # i love japanese food # ,where should it be
may i have a table for four # any preference on a type of cuisine # i love japanese food # where should it be # in beijing # ,which price range are looking for
may i have a table for four # any preference on a type of cuisine # i love japanese food # where should it be # in beijing # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer with korean cuisine # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in a expensive price range # ,any preference on a type of cuisine
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with vietnamese cuisine # ,where should it be
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with vietnamese cuisine # where should it be # in tokyo # ,how many people would be in your party
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with vietnamese cuisine # where should it be # in tokyo # how many people would be in your party # we will be four # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
actually i would prefer with japanese cuisine # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in bangkok in a moderate price range # ,any preference on a type of cuisine
can you make a restaurant reservation in bangkok in a moderate price range # any preference on a type of cuisine # with thai food # ,how many people would be in your party
can you make a restaurant reservation in bangkok in a moderate price range # any preference on a type of cuisine # with thai food # how many people would be in your party # for two please # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with vietnamese cuisine for eight people in a moderate price range # ,where should it be
can you make a restaurant reservation with vietnamese cuisine for eight people in a moderate price range # where should it be # seoul please # ,api_call
instead could it be for two # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # ,_address
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table in bangkok # ,any preference on a type of cuisine
can you book a table in bangkok # any preference on a type of cuisine # with korean food # ,how many people would be in your party
can you book a table in bangkok # any preference on a type of cuisine # with korean food # how many people would be in your party # for eight please # ,which price range are looking for
can you book a table in bangkok # any preference on a type of cuisine # with korean food # how many people would be in your party # for eight please # which price range are looking for # in a moderate price range please # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # can you provide the address # ,_address
do you have its phone number # phone_call # can you provide the address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table for six people # ,any preference on a type of cuisine
can you book a table for six people # any preference on a type of cuisine # with japanese cuisine # ,where should it be
can you book a table for six people # any preference on a type of cuisine # with japanese cuisine # where should it be # in seoul # ,which price range are looking for
can you book a table for six people # any preference on a type of cuisine # with japanese cuisine # where should it be # in seoul # which price range are looking for # in a expensive price range please # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with cantonese food # ,where should it be
i'd like to book a table with cantonese food # where should it be # in bangkok # ,how many people would be in your party
i'd like to book a table with cantonese food # where should it be # in bangkok # how many people would be in your party # we will be eight # ,which price range are looking for
i'd like to book a table with cantonese food # where should it be # in bangkok # how many people would be in your party # we will be eight # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
instead could it be with japanese cuisine # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a expensive price range # ,any preference on a type of cuisine
may i have a table in a expensive price range # any preference on a type of cuisine # i love japanese food # ,where should it be
may i have a table in a expensive price range # any preference on a type of cuisine # i love japanese food # where should it be # tokyo please # ,how many people would be in your party
may i have a table in a expensive price range # any preference on a type of cuisine # i love japanese food # where should it be # tokyo please # how many people would be in your party # we will be four # ,api_call
instead could it be with korean food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in beijing with japanese cuisine # ,how many people would be in your party
can you make a restaurant reservation in beijing with japanese cuisine # how many people would be in your party # for two people please # ,which price range are looking for
can you make a restaurant reservation in beijing with japanese cuisine # how many people would be in your party # for two people please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for eight people # ,sure is there anything else to update
instead could it be with korean cuisine # ,sure is there anything else to update
instead could it be in tokyo # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for six people with cantonese food # ,where should it be
may i have a table for six people with cantonese food # where should it be # seoul please # ,which price range are looking for
may i have a table for six people with cantonese food # where should it be # seoul please # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation for eight in seoul with japanese cuisine # ,which price range are looking for
can you make a restaurant reservation for eight in seoul with japanese cuisine # which price range are looking for # in a expensive price range please # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # what is the phone number of the restaurant # ,phone_call
do you have its address # _address # what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with korean cuisine in a cheap price range in bangkok # ,how many people would be in your party
can you book a table with korean cuisine in a cheap price range in bangkok # how many people would be in your party # for eight please # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a expensive price range # ,any preference on a type of cuisine
may i have a table in a expensive price range # any preference on a type of cuisine # with thai food # ,where should it be
may i have a table in a expensive price range # any preference on a type of cuisine # with thai food # where should it be # seoul please # ,how many people would be in your party
may i have a table in a expensive price range # any preference on a type of cuisine # with thai food # where should it be # seoul please # how many people would be in your party # for four please # ,api_call
actually i would prefer in tokyo # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table with vietnamese cuisine in tokyo # ,how many people would be in your party
i'd like to book a table with vietnamese cuisine in tokyo # how many people would be in your party # for eight people please # ,which price range are looking for
i'd like to book a table with vietnamese cuisine in tokyo # how many people would be in your party # for eight people please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table in hanoi # ,any preference on a type of cuisine
can you book a table in hanoi # any preference on a type of cuisine # with japanese food # ,how many people would be in your party
can you book a table in hanoi # any preference on a type of cuisine # with japanese food # how many people would be in your party # for four please # ,which price range are looking for
can you book a table in hanoi # any preference on a type of cuisine # with japanese food # how many people would be in your party # for four please # which price range are looking for # in a cheap price range please # ,api_call
instead could it be in beijing # ,sure is there anything else to update
instead could it be with thai food # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with japanese cuisine # ,where should it be
can you book a table with japanese cuisine # where should it be # in seoul # ,how many people would be in your party
can you book a table with japanese cuisine # where should it be # in seoul # how many people would be in your party # we will be six # ,which price range are looking for
can you book a table with japanese cuisine # where should it be # in seoul # how many people would be in your party # we will be six # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be with thai cuisine # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # what is the phone number of the restaurant # ,phone_call
do you have its address # _address # what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in seoul # ,any preference on a type of cuisine
can you book a table in seoul # any preference on a type of cuisine # i love thai food # ,how many people would be in your party
can you book a table in seoul # any preference on a type of cuisine # i love thai food # how many people would be in your party # we will be eight # ,which price range are looking for
can you book a table in seoul # any preference on a type of cuisine # i love thai food # how many people would be in your party # we will be eight # which price range are looking for # i am looking for a moderate restaurant # ,api_call
instead could it be for two # ,sure is there anything else to update
actually i would prefer with korean food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table with thai cuisine # ,where should it be
can you book a table with thai cuisine # where should it be # in seoul # ,how many people would be in your party
can you book a table with thai cuisine # where should it be # in seoul # how many people would be in your party # for four people please # ,which price range are looking for
can you book a table with thai cuisine # where should it be # in seoul # how many people would be in your party # for four people please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in a expensive price range with cantonese food in hanoi # ,how many people would be in your party
can you make a restaurant reservation in a expensive price range with cantonese food in hanoi # how many people would be in your party # for six people please # ,api_call
instead could it be for eight people # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in a moderate price range # ,any preference on a type of cuisine
may i have a table in a moderate price range # any preference on a type of cuisine # i love vietnamese food # ,where should it be
may i have a table in a moderate price range # any preference on a type of cuisine # i love vietnamese food # where should it be # beijing please # ,how many people would be in your party
may i have a table in a moderate price range # any preference on a type of cuisine # i love vietnamese food # where should it be # beijing please # how many people would be in your party # for four people please # ,api_call
instead could it be for eight # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table with korean cuisine in a expensive price range in tokyo # ,how many people would be in your party
can you book a table with korean cuisine in a expensive price range in tokyo # how many people would be in your party # for four please # ,api_call
instead could it be with japanese cuisine # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # do you have its phone number # ,phone_call
can you provide the address # _address # do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in bangkok with vietnamese cuisine # ,how many people would be in your party
i'd like to book a table in bangkok with vietnamese cuisine # how many people would be in your party # for four please # ,which price range are looking for
i'd like to book a table in bangkok with vietnamese cuisine # how many people would be in your party # for four please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in a expensive price range for two people # ,any preference on a type of cuisine
i'd like to book a table in a expensive price range for two people # any preference on a type of cuisine # with cantonese cuisine # ,where should it be
i'd like to book a table in a expensive price range for two people # any preference on a type of cuisine # with cantonese cuisine # where should it be # in beijing # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # do you have its phone number # ,phone_call
can you provide the address # _address # do you have its phone number # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a expensive price range with japanese cuisine for four # ,where should it be
may i have a table in a expensive price range with japanese cuisine for four # where should it be # in hanoi # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # do you have its address # ,_address
do you have its phone number # phone_call # do you have its address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in bangkok with vietnamese cuisine for four people # ,which price range are looking for
i'd like to book a table in bangkok with vietnamese cuisine for four people # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for six people in seoul # ,any preference on a type of cuisine
can you book a table for six people in seoul # any preference on a type of cuisine # with cantonese food # ,which price range are looking for
can you book a table for six people in seoul # any preference on a type of cuisine # with cantonese food # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be for eight # ,sure is there anything else to update
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # do you have its address # ,_address
may i have the phone number of the restaurant # phone_call # do you have its address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in beijing with vietnamese cuisine # ,how many people would be in your party
i'd like to book a table in beijing with vietnamese cuisine # how many people would be in your party # for two people please # ,which price range are looking for
i'd like to book a table in beijing with vietnamese cuisine # how many people would be in your party # for two people please # which price range are looking for # in a moderate price range please # ,api_call
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in bangkok # ,any preference on a type of cuisine
may i have a table in bangkok # any preference on a type of cuisine # with vietnamese food # ,how many people would be in your party
may i have a table in bangkok # any preference on a type of cuisine # with vietnamese food # how many people would be in your party # we will be six # ,which price range are looking for
may i have a table in bangkok # any preference on a type of cuisine # with vietnamese food # how many people would be in your party # we will be six # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer for two # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # do you have its address # ,_address
may i have the phone number of the restaurant # phone_call # do you have its address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for four with korean food in beijing # ,which price range are looking for
may i have a table for four with korean food in beijing # which price range are looking for # in a moderate price range please # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation for eight in hanoi in a moderate price range # ,any preference on a type of cuisine
can you make a restaurant reservation for eight in hanoi in a moderate price range # any preference on a type of cuisine # with korean cuisine # ,api_call
instead could it be for four people # ,sure is there anything else to update
instead could it be with cantonese cuisine # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
can you provide the address # ,_address
